CHÚ THÍCH CAMPAIGN:,,,,,,,,
Campaign A: Zeus (Full Report) - Thúc đẩy doanh thu trực tiếp,,,,,,,,
Campaign B: Artemis (Mini Tools) - Thu hút Leads đỉnh phễu & Upsell,,,,,,,,
Campaign C: B2B HR Scoring & SME - Giải pháp xây dựng đội ngũ,,,,,,,,
,,,,,,,,
CHÚ THÍCH PERSONA:,,,,,,,,
Nhóm Sự Nghiệp: P01-Tù nhân lương cao | P02-Chuyển ngành muộn | P03-Founder kiệt sức | P04-Solopreneur | P05-Ngã rẽ thăng tiến | P06-FOMO Investor,,,,,,,,
Nhóm Mối Quan Hệ: P07-Anxious Dater | P08-Lắc lư hôn nhân | P09-Xây lại từ đầu | P10-Phụ huynh hoang mang,,,,,,,,
Nhóm Quản Trị: P11-Quản lý kiệt sức | P12-Nạn nhân đối tác | P13-Drained Empath (Bị hút năng lượng),,,,,,,,
,,,,,,,,
THÁNG 4,,,,,,,,
Publish day,15/04/2026,16/04/2026,18/04/2026,21/04/2026,24/04/2026,27/04/2026,29/04/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus)
Angle,Nỗ lực mãi chưa đến nơi? Gốc rễ năng lượng mâu thuẫn.,Xem bát tự / lá số sinh mệnh,"Sự nghiệp tắc nghẽn, đúng hướng hay sai thời điểm?",Case study ẩn danh: Nhảy việc đúng thời điểm,Tù nhân lương cao: Bạn đang bán rẻ ước mơ?,Giải mã vận hạn trễ nhịp,"Ngã rẽ thăng tiến: Đi hay ở"
Format,Meta Ads - Video 30s,Google Search - Search Ad,TikTok Cold - Video 15s,FB Organic - Long-form,Meta Retargeting - Single Image,TikTok Organic - Video 1-min,Meta Ads - Carousel
Objective,Tạo Awareness & Leads,Bắt Intention,Tạo Awareness,Xây niềm tin (Trust),Tạo chuyển đổi (Zeus),Tạo sự tò mò,Tạo chuyển đổi
Link,,,,,,,
Details,"Phân tích vì sao nỗ lực mù quáng là vô ích. Dẫn vào Zeus Report (Persona P01, P02).","Keywords: xem bát tự online, hạn 2026 - Boot BOF.",POV: Lựa chọn sai thời điểm sẽ kéo lùi 3 năm.,Founder share câu chuyện 1 khách hàng thay đổi định hướng sau khi xem Zeus.,Khai thác Persona P01. Đánh mạnh vào sự kiệt quệ tài liệu tâm lý.,Khái niệm Đại vận sớm và muộn. Đừng áp dụng chuẩn chung tuổi 25 cho người tuổi 30.,Dùng Zeus Yearly phân tích cơ hội đi hay ở (Persona P05).
,,,,,,,,
THÁNG 5,,,,,,,,
Publish day,02/05/2026,05/05/2026,10/05/2026,13/05/2026,18/05/2026,20/05/2026,25/05/2026,28/05/2026
Campaign,Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus),Campaign A (Zeus)
Angle,"Kinh doanh cần nỗ lực, thành bại nhờ thời điểm","Cắt lỗ hay Gồng lãi? Trực giác vs Bản đồ",Banner: Bản đồ năng lượng 10 năm Zeus,Case study: Khởi nghiệp suýt phá sản,Tù nhân lương cao hút cạn sinh lực (Angle 2),Insight Bát tự miễn phí,Sợ trễ nhịp lúc 30 tuổi,"Tuổi 30 nên làm gì, xem mệnh qua ngũ hành"
Format,Meta Ads - Line Chart Ads,TikTok Ads - Video 30s,Google Display - Banner GDN,FB Organic - Album,Meta Ads - Short Video,Email Marketing - Text Email,TikTok Ads - Video 15s,Blog/SEO - Long article
Objective,Scale Ads,Scale Ads,Retargeting,Xây niềm tin,Scale Ads,Chăm sóc Leads,Scale Ads,Đón traffic SEO
Link,,,,,,,,
Details,Persona P03 (Founder kiệt sức) nỗ lực chọn sai thiên thời.,Persona P06 (FOMO) phân tích tài vận đầu tư theo lá số bẩm sinh.,Hiển thị banner bám đuổi cho những người từng vào landing page mà chưa mua.,Storytelling sâu sắc về Founder vỡ nợ vì gánh sai sinh khí.,Góc nhìn thứ 2 của P01: Ngũ hành khắc công việc.,Gửi chuỗi email dẫn feedback.,Khai thác Persona P02 góc nhìn 2 (Late Bloomer).,"Target Keyword SEO Mới: xem hạn 30 tuổi, bát tự."
,,,,,,,,
THÁNG 6,,,,,,,,
Publish day,01/06/2026,04/06/2026,10/06/2026,14/06/2026,18/06/2026,22/06/2026,26/06/2026
Campaign,Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign A (Zeus),Campaign A (Zeus)
Angle,"Giỏi nhưng không vui? Sai việc, không phải sai cách","MBTI nói bạn là ai, Bát tự nói bạn phải làm gì",Hỏi: Thu nhập xịn mà vẫn burnout là sao?,Sự nghiệp điểm 10 nhưng tình duyên lệch tần số,Bạn thuộc nguyên tố ngũ hành nào?,"Freelancer làm giỏi, mở team lại lỗ",Gói phân tích báo cáo Zeus
Format,Meta Ads - Video 30s,TikTok Ads - In-feed Video,FB Organic (Seeding) - Text/QA,Meta Ads - Tinder Profile UI,TikTok Organic - Video 1-min,Meta Retargeting - Carousel,Google Search - Search Ad
Objective,Tạo Leads qua Free Tool,Tạo Leads qua Tool,Tương tác,Tạo Leads mới,Tạo Awareness,Sustain Sales,Sustain Sales
Link,,,,,,,
Details,Giới thiệu tool Artemis lấy list email cho tập 24-30 (P02).,Đánh mạnh tính so sánh MBTI và Bát tự trên TikTok chọc tò mò (P02).,"Post ẩn danh làm mồi seeding, dẫn link trong group Tâm lý học, diễn đàn MBTI.",Persona P07 (Anxious Dater) quét AI Cupid lọc trap boy.,Founder chỉ ra ứng dụng nguyên tố năng lượng cá nhân.,Dành cho nhóm Solopreneur mông lung (P04).,Maintain các Keyword Search trả phí tốt nhất của Campaign A.
,,,,,,,,
THÁNG 7,,,,,,,,
Publish day,03/07/2026,07/07/2026,12/07/2026,16/07/2026,20/07/2026,24/07/2026,28/07/2026
Campaign,Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B (Artemis),Campaign B -> A
