ID,Nhóm,Tên Persona,Tên tiếng Việt,Độ tuổi,Nghề nghiệp,Nỗi đau sâu thẳm,Động lực,Giải pháp 5Balance,Hook Marketing,Platform ưu tiên,Interest targeting,Behavioral signals,Content format,Lookalike seed
P01,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The Golden Handcuffs,Tù Nhân Lương Cao,30–35,"Manager, Senior Specialist tại các tập đoàn lớn","Thu nhập rất tốt nhưng cảm thấy ""chết mòn ở bên trong"". Sợ nghỉ việc vì áp lực tài chính/trả góp, nhưng cũng sợ nếu tiếp tục làm thì sẽ trầm cảm. Họ mắc kẹt giữa tiền bạc và lý tưởng sống.","Tìm một lý do chính đáng (data-driven) để dứt áo ra đi hoặc xoay chuyển tình thế mà không cảm thấy mình đang bốc đồng.","Zeus Report (Career Navigator): Chỉ ra rõ Đại vận hiện tại đang hỗ trợ tiền bạc hay lý tưởng, từ đó có chiến lược ""Làm tiếp kiếm vốn"" hay ""Rời đi lập nghiệp"".","""Mức lương 50 triệu đang mua đứt ước mơ của bạn. Bát tự nói gì về thời điểm bạn nên tự do?""","","","","",""
P02,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The Late Bloomer,Người Chuyển Ngành Muộn,28–33,"Nhân viên VP, Giáo viên, Ngân hàng...","Đã dành 4-5 năm cho một ngành nghề và nhận ra mình học sai, chọn sai. Thấy bạn bè đồng trang lứa thăng tiến, mua nhà, còn mình muốn làm lại từ đầu vào năm 30 tuổi nhưng sợ quá muộn, sợ rủi ro.","Cần sự xác nhận (Validation) rằng DNA tư duy của họ thực sự thuộc về vùng đất mới, để họ đủ dũng khí đạp đổ xây lại.","Artemis (Career Weather) -> Upsell Zeus: Khám phá năng khiếu bẩm sinh thực sự (DNA tư duy) và thời điểm ""chín muồi"" để nhảy việc.","""Bắt đầu lại ở tuổi 30 không đáng sợ bằng việc đi sai đường đến năm 40. Khám phá DNA tư duy của bạn.""","","","","",""
P03,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The Burnout Founder,Khởi Nghiệp Kiệt Sức,32–38,"Founder, Chủ SME, Start-up CEO","Đổ rất nhiều tiền và chất xám nhưng business lẹt đẹt. Không ngừng tự hỏi ""Do mình kém, do thị trường, hay do chưa đến thời?"". Áp lực gánh team khiến họ cô đơn tột độ.","Biết chính xác bao giờ ""thời"" tới để gồng tiếp, hoặc khi nào nên cắt lỗ để tránh phá sản. Cần một ""Spiritual Strategic Advisor"".","Zeus Report (10-Year Survival Roadmap): Đo lường chu kỳ tài vận. Báo có cho biết năm nào nên thu mình (án binh bất động), năm nào nên bung lụa (scale up).","""Kinh doanh không chỉ cần nỗ lực mà còn cần 'Thời điểm'. Bạn đang cố đẩy thuyền khi thủy triều đang xuống?""","","","","",""
P04,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The Solopreneur,Tự Do Mông Lung,28–35,"Freelancer lâu năm, Content Creator, Chuyên gia tự do","Thu nhập bấp bênh, tháng 100 triệu tháng 0 đồng. Bối rối trước ngã rẽ: Nên tiếp tục làm solo hay mở Agency/Công ty để scale up?","Cân bằng lại dòng tiền, chọn mô hình phù hợp với lá số (là người hợp làm chuyên môn độc lập hay hợp làm lãnh đạo mưu lược).","Zeus (Wealth Strategy): Phân tích rõ cấu trúc ngũ hành xem bản mệnh hợp với ""Thực Thương"" (sáng tạo độc lập) hay ""Tài Quan"" (lãnh đạo, cấu trúc).","""Bạn làm tự do rất giỏi nhưng mở công ty lại lỗ? Lá số Bát tự sẽ giải thích vì sao.""","","","","",""
P05,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The Crossroads Achiever,Ngã Rẽ Thăng Tiến,32–38,"Mid-level Manager đang tranh chức Director/C-level","Office politics (chính trị chốn công sở) quá mệt mỏi. Đang bị kẹt giữa sếp trên và lính dưới. Quyết định: Cố ở lại đấu đá để lên chức, hay sang một tập đoàn khác làm lính mới?","Biết được ""vận hạn chức quyền"" (Quan vận) của mình năm nay ra sao để đưa ra nước cờ sự nghiệp sắc bén.","Zeus Report (Yearly Insight): Tầm nhìn quyền lực 12 tháng. Trả lời thẳng vấn đề có dấu hiệu thăng tiến hay có tiểu nhân cản đường.","""Ở lại đấu đá hay tìm bến đỗ mới? Đừng ra quyết định sự nghiệp lớn nhất đời bạn chỉ bằng linh cảm.""","","","","",""
P06,KHỦNG HOẢNG SỰ NGHIỆP & TÀI CHÍNH,The FOMO Investor,Nhà Đầu Tư Mất Phương Hướng,28–38,"Nhân viên văn phòng, Dân kinh doanh","Thấy người ta giàu nhanh nhờ Crypto, Chứng khoán, BĐS nên nhảy vào theo, nhưng toàn đu đỉnh bán đáy. Mất niềm tin vào vận may tiền bạc của bản thân.","Biết mình hợp đầu tư mảng nào (đất đai, công nghệ hay tài chính) và thời điểm nào tiền bạc hanh thông.","Artemis (Wealth Luck) -> Zeus (10-Year Wealth): Cung cấp hồ sơ rủi ro dựa trên ngũ hành (ai hợp đầu tư mạo hiểm, ai nên gửi tiết kiệm tích sản).","""Tiền vào cửa trước, trượt ra cửa sau? Bát tự tiết lộ danh mục đầu tư phù hợp nhất với 'mạch tài' của bạn.""","","","","",""
P07,MỐI QUAN HỆ & CHỮA LÀNH,The Anxious Dater,Kẻ Thèm Khát Chân Ái,28–34,"Sự nghiệp ổn định, Ngoại hình tốt","Rất thành công trong công việc nhưng lận đận tình duyên. Quẹt Tinder chán chê toàn gặp ""red flags"", trap-boy/trap-girl. Sợ hãi viễn cảnh ế đến già hoặc vớ đại ai đó để cưới cho xong.","Muốn biết ""khi nào chân ái xuất hiện"" và ""túyp người nào thực sự tương thích với năng lượng của mình"".","Artemis (Love Match) & Cupid AI: Gợi ý tệp năng lượng bổ khuyết, xác định năm ""đào hoa"" nở rộ để chủ động nắm bắt.","""Sự nghiệp điểm 10 nhưng tình duyên lận đận? Tìm hiểu tần số năng lượng tương thích ghép đôi theo Bát tự.""","","","","",""
P08,MỐI QUAN HỆ & CHỮA LÀNH,The Trapped Partner,Lắc Lư Trong Hôn Nhân,32–38,"Đã kết hôn (có thể có con)","Cuộc sống gia đình nhìn bề ngoài thì ổn nhưng bên trong lạnh lẽo, thường xuyên cãi vã không hồi kết, khác biệt lý tưởng. Nghĩ đến ly hôn nhưng sợ tổn thương con cái, sợ định kiến.","Cần một lý giải cực kỳ khách quan rằng mâu thuẫn này là do ""khắc khẩu năng lượng tạm thời"" hay ""bản chất hai lá số đẩy nhau"", từ đó quyết định sửa chữa hay buông tay.","Zeus (Love Harmony Tool): Phân tích độ tương thích sâu sắc (không chỉ là tam hợp/tứ hành xung) mà là Ngũ hành bổ khuyết và cách hóa giải.","""Yêu nhau rực rỡ nhưng lấy về lại cạn kiệt năng lượng? Bát tự sẽ chỉ ra lỗ hổng và cách hóa giải cho cuộc hôn nhân của bạn.""","","","","",""
P09,MỐI QUAN HỆ & CHỮA LÀNH,The Post-Trauma Rebuilder,Xây Lại Từ Đống Tro Tàn,30–38,"Mới ly hôn, hoặc vừa phá sản, mang nợ","Hoàn toàn sụp đổ niềm tin vào bản thân. Nhìn cuộc đời một màu đen tối, cảm giác ""bị nguyền rủa"" hoặc mang nghiệp nặng. Cần một chiếc phao cứu sinh để bám vào.","Đi tìm ý nghĩa của nghịch cảnh (Tại sao việc này lại xảy ra với tôi?) và tìm kiếm ánh sáng ở cuối đường hầm (Bao giờ vận đen này kết thúc?).","Zeus Report (Decade Insight) & Cupid Chatbot: Chatbot an ủi + Báo cáo chỉ rõ ""Đây là năm thử thách ngũ hành, qua năm sau đổi đại vận mọi thứ sẽ sáng sủa"".","""Bạn không mang nghiệp, bạn chỉ đang đi qua vùng nhiễu động của đại vận. Hãy xem bản đồ để biết cách thoát ra.""","","","","",""
P10,MỐI QUAN HỆ & CHỮA LÀNH,The Anxious Parent,Phụ Huynh Hoang Mang,30–38,"Đã có con (từ sơ sinh đến cấp 1)","Áp lực peer-pressure trong việc nuôi dạy con. Ép con học đàn, học toán... nhưng con chống đối. Sợ rằng mình đang bẻ gãy tài năng thiên bẩm của con bằng kỳ vọng sai lầm.","Hiểu DNA tư duy và tố chất bẩm sinh của con để nuôi dạy nương theo tự nhiên, đúng thế mạnh.","Child Potential Analysis (Zeus Add-on): Bản đồ năng khiếu của trẻ. Trẻ thuộc nguyên tố nào, hợp phương pháp giáo dục nào (khuyến khích, kỷ luật sắt, hay sáng tạo).","""Đừng bắt cá leo cây. Bát tự tiết lộ thiên hướng bẩm sinh của con bạn để giáo dục đúng cách nhất.""","","","","",""
