,,2026,,,,,,,,,,,,,,,,
,,T4,,T5,,T6,,T7,,T8,,T9,,T10,,T11,,T12
,,,,,,,,,,,,,,,,,,
Campaign,Start Date,,,,,,,,,,,,,,,,,
CAMPAIGN A: Full Report (ZEUS) - Core Revenue,,,,,,,,,,,,,,,,,,
Triển khai Meta Ads vào Retargeting + Cold Targeting,15/04,,,,,,,,,,,,,,,,,
Triển khai Google Ads hứng phễu BOF,15/04,,,,,,,,,,,,,,,,,
Triển khai TikTok Cold Targeting,15/04,,,,,,,,,,,,,,,,,
Scale on winning ads,01/05,,,,,,,,,,,,,,,,,
Tách budget để chạy target B2B cho HR/SMEs,01/10,,,,,,,,,,,,,,,,,
CAMPAIGN B: Mini Tools (ARTEMIS) - Launch khi Artemis hoàn thiện,,,,,,,,,,,,,,,,,,
Triển khai Meta + TikTok Ads tập trung vào A/B test creative,01/06,,,,,,,,,,,,,,,,,
Scale on winning ads,01/07,,,,,,,,,,,,,,,,,
Scale mạnh Retargeting để upsell gói Zeus,01/08,,,,,,,,,,,,,,,,,
Campaign C — B2B HR Scoring & SME,,,,,,,,,,,,,,,,,,
Xây dựng Landing Page cho B2B,01/09,,,,,,,,,,,,,,,,,
Chuẩn bị Whitepaper,01/09,,,,,,,,,,,,,,,,,
Triển khai LinkedIn Ads,15/10,,,,,,,,,,,,,,,,,
Cold / Direct Outreach,15/10,,,,,,,,,,,,,,,,,
