,,
,CAMPAIGN A: Full Report (ZEUS) - Core Revenue,
,Mục tiêu: Sales,
,Metric,KPI
,CPA,"80,000 - 150,000 VND"
,Conversion Rate (Cold),1.5% – 3%	
,Conversion Rate (Retargeting),4% – 8%	
,ROAS,4.0 – 7.5	
,,
,,
,CAMPAIGN B: Mini Tools (ARTEMIS) - Launch khi Artemis hoàn thiện,
,Mục tiêu: Kéo traffic rẻ nhất để thu thập Birth Data.,
,Metric,KPI
,CPC ,"1,500 – 3,000 VND	"
,CPL ,"8,000 – 15,000 VND	"
,Conversion Rate ,10% - 15%
,,
,,
,Campaign C — B2B HR Scoring & SME,
,"Mục tiêu: Lan tỏa thương hiệu nội bộ, giảm CPC/CPA cho A & B.",
,Metric,KPI
,CPM,"15,000 – 25,000 VND	"
,Engagement Rate,8% – 15%	
